n.id,numberOfConnectedEdges
"""EPS8L2""",1006
"""ZNF740""",152
"""CHPT1""",390
"""GFRA3""",316
"""GUF1""",651
"""BRI3""",171
"""MIR6752""",1
"""NPHP3""",1202
"""LNCTAM34A""",1
"""MED21""",217
"""PRH2""",184
"""ADAMTS9-AS1""",2
"""BANCR""",1
"""LGALS16""",190
"""TRMT12""",401
"""PUDP""",238
"""PAH""",851
"""GNS""",436
"""SSX6P""",2
"""PCNA""",158
"""SNX9-AS1""",1
"""ZNF670-ZNF695""",152
"""MRPL3""",431
"""MIR4507""",1
"""GOLGA6L3""",2
"""RTP3""",214
"""SLC26A7""",747
"""ZBTB48""",637
"""GDF3""",350
"""UNC13B""",3023
"""MIR6511B2""",1
"""LINC00561""",1
"""KIF5A""",896
"""TMC5""",1063
"""TEX54""",72
"""MIR3156-3""",1
"""TRAV12-1""",132
"""UGT2A1""",918
"""MIR4499""",1
"""ARRDC3""",284
"""CPLANE1""",2633
"""ITGA10""",1119
"""RPH3A""",726
"""ZNF397""",548
"""OR8H3""",451
"""MIR4747""",1
"""LY6G6F""",238
"""CAV2""",211
"""ATP1A2""",688
"""KRT79""",629
"""XIST""",1
"""ZNF765""",618
"""SPECC1L-ADORA2A""",666
"""PTPRM""",1287
"""LINC01488""",4
"""TES""",428
"""KCNC3""",559
"""HOXA11-AS""",1
"""LINC01745""",1
"""ANKRD33""",513
"""PPP1R12B""",1027
"""CFL2""",126
"""MAPK1""",147
"""TAF12""",112
"""ZBED3""",216
"""NAALADL2""",991
"""SP5""",442
"""IGHG1""",495
"""ARL8A""",92
"""MBL1P""",1
"""OR4M2""",423
"""CIR1""",376
"""CSGALNACT2""",466
"""KIRREL3-AS2""",1
"""GBP1""",590
"""SERPINI1""",391
"""SLC26A9""",850
"""SLC38A4""",521
"""LINC02633""",1
"""RASGEF1B""",506
"""UBQLN4""",412
"""PLEK2""",329
"""LINC02876""",2
"""C8orf34""",665
"""IGLJ2""",72
"""TMEM139-AS1""",1
"""GNAZ""",243
"""IGKJ4""",71
"""ZC3HAV1""",862
"""LINC02331""",5
"""TMEM263""",111
"""MIR4772""",1
"""ALG13""",937
"""KCTD16""",423
"""CD70""",238
"""ATP6V0A2""",800
"""LRRC8C-DT""",1
"""LINC01378""",1
"""MIR3675""",1
"""SKA1""",193
"""ENGASE""",851
"""COMTD1""",266
"""HDAC1""",285
"""MAPK11""",305
"""TMEM205""",216
"""TNFSF13""",222
"""RIMBP2""",1467
"""ME1""",595
"""PTPRU""",1301
"""FAM241A""",112
"""DDB2""",396
"""ZNF792""",610
"""TUBA8""",472
"""BMS1P17""",1
"""SLC36A1""",502
"""PADI6""",669
"""CCDC54""",353
"""H1-0""",161
"""AGAP2""",1149
"""CATIP-AS1""",1
"""SFTPD""",364
"""LINC00940""",1
"""PEX2""",308
"""LINC01257""",1
"""LINC02751""",8
"""AIRE""",666
"""C3orf49""",270
"""FAM186A""",1801
"""BBS2""",660
"""LINC02378""",1
"""MIR29B2CHG""",2
"""CACFD1""",305
"""MME""",857
"""DDX43""",576
"""LINC02252""",1
"""MIR6730""",1
"""SNORD90""",1
"""OR10J4""",2
"""SENP7""",862
"""HLA-L""",1
"""LINC02427""",1
"""SNAR-A5""",1
"""HAND2-AS1""",11
"""MIR6830""",1
"""EXOC4""",855
"""CLCA4-AS1""",2
"""PRAC1""",60
"""UBA6""",888
"""HIF1A-AS2""",1
"""CYP26B1""",566
"""FABP2""",119
"""IGKV1OR2-108""",111
"""PMAIP1""",144
"""SSNA1""",140
"""POTEB2""",181
"""NUAK1""",595
"""BACE1-AS""",1
"""KCNN4""",408
"""FAS""",361
"""LASTR""",1
"""IPO5""",769
"""AGPS""",470
"""CEACAM22P""",1
"""NME7""",358
"""SCAF8""",1141
"""TAS2R10""",329
"""SCYGR2""",97
"""ACTG1""",363
"""ELK2AP""",1
"""DIAPH3-AS1""",5
"""TRAV25""",121
"""RNU6-8""",1
"""SCAMP3""",337
"""LINC02292""",1
"""MIR921""",1
"""OR52E5""",200
"""MIR7109""",1
"""NPHS2""",450
"""TTI2""",494
"""WDR62""",1497
"""SERPINF2""",422
"""MROH6""",1024
"""H2BU1""",156
"""RAB30""",160
"""TPTE2P3""",1
"""PAIP2B""",128
"""CYRIA""",220
"""IGHV3-38-3""",1
"""HCG24""",1
"""MYLK4""",416
