n.id,numberOfConnectedEdges
"""HNRNPA1P48""",159
"""CST9L""",171
"""LINC00630""",7
"""GOLGA5""",608
"""PRY2""",5
"""TTPA""",281
"""LINC02360""",1
"""MIR6871""",1
"""FYB2""",818
"""KRTAP4-12""",254
"""AHSP""",129
"""SNORD115-13""",1
"""PRYP4""",3
"""LINC00269""",2
"""LINC02509""",1
"""PRND""",194
"""FAM157A""",2
"""RNU6-1""",1
"""SNORD36B""",1
"""CHDH""",639
"""NR3C1""",636
"""PDX1""",339
"""TXNL1""",249
"""SATB2""",538
"""B3GALT6""",359
"""MAGEC1""",1716
"""DHFRP3""",1
"""FAM234B""",557
"""FGD6""",1259
"""LINC02782""",2
"""ADGRG4""",2494
"""MIR3611""",1
"""PPM1F-AS1""",1
"""CLN8""",420
"""SNORD12""",1
"""UGT2B15""",625
"""KIF4B""",1258
"""TSPOAP1-AS1""",9
"""ZNF414""",434
"""ADAMTS7""",1793
"""GABRG1""",549
"""MOSMO""",137
"""RPL39P5""",1
"""LOXL3""",676
"""TRIM61""",346
"""PCAT6""",2
"""MIR4734""",1
"""DDX47""",427
"""GUCY2EP""",1
"""ULBP1""",302
"""COPA""",909
"""EIF2B5""",725
"""MIR195""",1
"""PEX5L""",601
"""PEAK1""",1640
"""MIR4525""",1
"""MIR6130""",1
"""SOSTDC1""",200
"""OR1C1""",403
"""NFKB2""",676
"""PIMREG""",372
"""SLC25A17""",342
"""MIR3610""",1
"""SNORD114-17""",1
"""TRAV8-3""",105
"""MIR219A2""",1
"""TTTY9A""",1
"""DUOX1""",1505
"""ODAD2P1""",1
"""TMEM176A""",252
"""MIR3117""",1
"""CA3-AS1""",4
"""LRCH1""",623
"""LINC02612""",4
"""SVIP""",90
"""LINC02775""",1
"""APOL3""",542
"""POTEE""",1351
"""FAM153CP""",2
"""MAT2A""",175
"""DNAJA4-DT""",3
"""MIRLET7G""",1
"""ACTR8""",536
"""FGA""",851
"""MIR1302-8""",1
"""RNVU1-19""",1
"""OR10K1""",381
"""BABAM2""",397
"""CD9""",304
"""LINC02054""",2
"""LYRM7""",84
"""LINC01063""",1
"""MIR433""",1
"""OLFM2""",398
"""BPIFA3""",293
"""LINC01393""",1
"""PCDHB18P""",2
"""UBE2D1""",88
"""RFT1""",479
"""CAMKK1""",547
"""SLC66A1""",313
"""FZD8""",534
"""ESRP1""",562
"""FEZF2""",385
"""LUC7L2""",410
"""FREM2""",3231
"""SLC6A2""",563
"""ZNF790""",644
"""NAA50""",100
"""SIK1""",579
"""CCND2-AS1""",3
"""LIF-AS1""",1
"""ARIH1""",261
"""AHSG""",400
"""OTUD4""",889
"""TLK1""",468
"""UQCRBP1""",1
"""PNOC""",169
"""LINC01739""",3
"""ZBED5-AS1""",1
"""RPRD1B""",239
"""ZFP28""",812
"""C8orf44-SGK3""",25
"""LINC02141""",1
"""SDC4""",214
"""MIR4470""",1
"""NUPR2""",103
"""TMIE""",154
"""MIR132""",1
"""SHOX2""",416
"""TRAPPC3""",173
"""DAOA-AS1""",1
"""SNORD116-9""",1
"""BSG-AS1""",3
"""SNORD139""",1
"""LHCGR""",799
"""RNLS""",397
"""SNX2""",421
"""CARNMT1""",335
"""FAM210B""",169
"""MIR4444-1""",1
"""OR1D2""",304
"""ATG10""",252
"""KRTDAP""",93
"""KLB""",873
"""CDK5R1""",221
"""MITD1""",244
"""CBL""",851
"""SYS1""",158
"""CLK2""",425
"""FAM99B""",1
"""ACAA2""",379
"""MAP9""",687
"""TAP1""",611
"""OTOP1""",716
"""NR2E1""",327
"""MIR548O2""",1
"""FAM85B""",1
"""PRKDC""",3388
"""IYD""",386
"""GCC2""",1517
"""SUMO1""",173
"""METTL8""",409
"""NLRP8""",1221
"""ZNF92""",568
"""NHEJ1""",326
"""MTHFR""",776
"""PLCB3""",1007
"""SUSD1""",735
"""CRYZL2P""",8
"""NR1I3""",499
"""NDFIP2-AS1""",1
"""LINC02586""",1
"""OGFR""",771
"""KCTD21-AS1""",2
"""PPAN""",583
"""LINC01056""",1
"""C9orf72""",457
"""CCDC15-DT""",3
"""CGAS""",493
"""OR51F1""",416
"""CLPB""",795
"""CADM3-AS1""",1
"""OR5D14""",453
"""LINC02074""",7
"""LINC02126""",1
"""LINC02045""",2
"""MIR524""",1
"""AKIRIN1""",145
"""SYNPO2L-AS1""",1
"""ZNF19""",485
"""MORC4""",599
"""KIAA2012""",902
"""LINC02635""",2
"""CYP21A1P""",1
"""FGG""",424
"""ARL14EPL""",165
"""ADAT3""",517
"""FNDC11""",346
"""TSPEAR-AS2""",5
"""INSL6""",384
"""STK16""",319
"""SPTB""",1940
"""MIR5087""",1
"""ZC3H7B""",763
"""KLF4""",547
"""ATG2B""",1716
"""CNPY4""",251
"""RRP7BP""",2
"""IGHV2OR16-5""",175
"""CUEDC2""",204
"""LINC02004""",1
"""KLK11""",348
"""THEGL""",370
"""SIRT7""",405
"""OR2A5""",366
"""RPS12""",114
"""SPRR2E""",109
"""BAAT""",437
"""SEC11B""",1
"""SNORD114-11""",1
"""CNTNAP3P2""",1
"""CLCA1""",846
"""HSFY1P1""",1
"""MCHR2""",357
"""PIH1D2""",296
"""AHCY""",398
"""ADIRF-AS1""",9
"""SNX29""",1086
"""TCEAL7""",63
"""SNORD24""",1
"""HSPA4L""",659
"""FMO2""",575
"""GOLGA8K""",612
"""DGKZ""",1241
"""OR7E37P""",1
"""GIMAP1""",382
"""SHMT2""",464
"""FCRLB""",535
"""POLA2""",551
"""LRRTM4""",660
"""BNIP5""",726
"""LARP4""",690
"""ZCCHC24""",328
"""MIR548AG1""",1
"""SLC29A4""",707
"""ASIC2""",619
"""TRAJ20""",20
"""DSG1""",1105
"""MIR18A""",1
"""RGMB-AS1""",1
"""BCL6B""",470
"""CYFIP1""",1188
"""TRAPPC4""",298
"""ERLIN2""",252
"""TBR1""",542
"""USP17L19""",97
"""TRAM1L1""",386
"""NFKBIB""",383
"""HSP90AB2P""",1
"""MT-RNR1""",1
"""SPRY3""",302
"""OR5M1""",403
"""LNPEP""",802
"""FKBP8""",360
"""RGS20""",422
"""ZNF234""",628
"""ZRANB3""",1079
"""CFLAR""",520
"""LINC01508""",1
"""MIR573""",1
"""SMYD3""",454
"""CAMTA1-AS1""",6
"""SLC5A2""",859
"""CATSPERG""",1100
"""H4C8""",3
"""ZNF280A""",603
"""GADD45A""",134
"""TMEM271""",155
"""ARHGAP11A""",925
"""CCL1""",101
"""HRH4""",360
"""DISP2""",1327
"""ADRB2""",333
"""LINC00926""",1
"""SNORD156""",1
"""NET1""",542
"""FUBP1""",503
"""MFN2""",868
"""NANOS3""",189
"""MARCHF8""",485
"""DERL1""",204
"""ADAMTSL1""",2209
"""DCUN1D3""",206
"""FOXK2""",746
"""TPH1""",424
"""LINC01650""",1
"""NPAT""",1288
"""TAX1BP1-AS1""",1
"""BRINP1""",810
"""OR6C2""",292
"""TMEM68""",283
"""MIR4656""",1
"""RNFT1-DT""",2
"""MCAT""",449
"""ZNF587B""",709
"""TOP3B""",795
"""WNK1""",2484
"""GSTA3""",251
"""NFU1""",276
"""FOXI1""",439
"""TPH2""",450
"""MIR944""",1
"""FBXO3-DT""",1
"""CD1B""",442
"""LARS2-AS1""",1
"""TDRKH""",496
"""UNC5A""",723
"""MIR4252""",1
"""RFESD""",165
"""MIR3678""",1
"""PMS2P3""",5
"""CRIP2""",395
"""PLEKHA4""",870
"""FAM174B""",317
"""TERB1""",498
"""MIR6829""",1
"""MIR6128""",1
"""ZAP70""",605
"""FBXO48""",129
"""RHOU""",203
"""MMUT""",779
"""OR51V1""",331
"""OVOL1-AS1""",1
"""SLC35B1""",400
"""OLFM1""",583
"""P2RX6P""",1
"""ZNF705D""",160
"""LTBR""",384
"""EPS8L1""",938
"""KLHL14""",605
"""PFDN4""",100
"""LINC01688""",1
"""C1orf210""",124
"""TRERNA1""",1
"""ANKRD20A2P""",393
"""SNORD115-11""",1
"""CYLD-AS1""",1
"""OXTR""",420
"""TMTC2""",806
"""AADACL4""",461
"""ZNF530""",588
"""SNHG6""",4
"""PIP5KL1""",407
"""LRRC37A""",630
"""MIR1286""",1
"""TFPI2""",263
"""GOT1L1""",472
"""GLRA3""",450
"""MIEF1""",520
"""CES2""",576
"""SMIM35""",61
"""SNORD129""",1
"""DAAM2-AS1""",1
"""DOLK""",467
"""GPR22""",283
"""RPLP1""",131
"""PATE4""",99
"""MIR5001""",1
"""ANKMY1""",1320
"""IQANK1""",427
"""TMEM181""",500
"""ANKRD20A9P""",1
"""POLR3A""",1043
"""OTULINL""",329
"""LGALS1""",209
"""BNIPL""",320
"""PARP1""",867
"""MTAP""",385
"""PLUT""",1
"""SPCS3""",111
"""OR5I1""",407
"""CTU2""",1006
"""RTL4""",292
"""MIR9500""",1
"""EPGN""",176
"""NAPEPLD""",408
"""TECPR2""",1192
"""LIN7C""",142
"""SEC31A""",1143
"""SMYD4""",835
"""POLR3H""",325
"""MAF1""",292
"""TMEM147""",229
"""RIPOR3""",1020
"""LINC02235""",9
"""AOPEP""",941
"""BIVM""",420
"""KLRB1""",196
"""WDR81""",1783
"""RPA3""",154
"""MFSD4A-AS1""",2
"""SNORD11B""",1
"""OR4K17""",327
"""KRT75""",636
"""GOLGA2P5""",5
"""CGB5""",6
"""HOXB6""",271
"""FUT3""",460
"""MARCKS""",338
"""TRMT6""",424
"""MIR2355""",1
"""EFCAB13""",794
"""HGD""",472
"""PEBP1""",170
"""GRM7""",1053
"""MIR548F4""",1
"""MIR548AQ""",1
"""MIR194-2HG""",3
"""LINC02434""",3
"""DEFB123""",63
"""OOEP""",193
"""TRAK2""",794
"""ZNF501""",305
"""SPACA9""",255
"""C1QL4""",241
"""SFXN2""",370
"""MGAT4A""",414
"""LINC01020""",1
"""EBLN1""",290
"""MIR543""",1
"""LNCDAT""",4
"""ISCA1""",97
"""KCND2""",514
"""SNORD144""",1
"""NAGPA""",715
"""MEPCE""",555
"""EXOC1L""",113
"""SLC10A2""",493
"""LINC01962""",1
"""YWHAH""",178
"""C1orf216""",217
"""LIN9""",387
"""MIR4804""",1
"""MIR9851""",1
"""ZNHIT3""",233
"""GPR161""",577
"""MIR1197""",1
"""POTEKP""",2
"""SMARCAL1""",843
"""THSD4-AS1""",4
"""TUFM""",388
"""ZNF835""",776
"""GRK1""",564
"""ZNF211""",667
"""TMEM182""",301
"""ANP32D""",148
"""OR6N1""",391
"""KPNA7""",502
"""LINC01303""",2
"""LINC01109""",1
"""NT5C""",292
"""LOX""",417
"""MIR503""",1
"""MIR93""",1
"""TCF19""",298
"""CNTNAP4""",1626
"""MORN5""",187
"""LINC01370""",2
"""SNORD116-18""",1
"""GNA14-AS1""",1
"""GRM6""",1053
"""FGF14-AS1""",1
"""IFT43""",276
"""IQCF5""",141
"""HERC2P10""",1
"""GADD45G""",95
"""KRT25""",462
"""MIR194-2""",1
"""ZNF502""",503
"""LINC02662""",5
"""MIATNB""",1
"""SMAD1""",328
"""RORA-AS1""",4
"""REV3L""",2473
"""GDF5""",518
"""ARMS2""",91
"""LINC02676""",1
"""SORBS1""",1919
"""CCDC117""",260
"""LINC00933""",2
"""RASSF1""",438
"""LYPLA1""",211
"""MAST2""",1651
"""USP53""",939
"""IGFBP4""",258
"""GATAD1""",209
"""FCHSD1""",738
"""SLC14A2-AS1""",4
"""JAM3""",363
"""APELA""",43
"""ZDHHC20""",320
"""DEFB129""",172
"""LINC00472""",5
"""LONP2""",727
"""SLC25A28""",244
"""GEMIN8P4""",1
"""SMG1-DT""",2
"""FAM242E""",1
"""TSSK1B""",426
"""SPSB1""",197
"""LINC01142""",1
"""TDP1""",704
"""TCHP""",540
"""RBMY1B""",12
"""ERICH3-AS1""",2
"""RRP1""",490
"""SMAD3""",503
"""MAP3K8""",363
"""HLA-DRB7""",4
"""TMED2""",129
"""ASB10""",658
"""GABARAPL3""",2
"""MIR8055""",1
"""DUSP28""",273
"""PLAGL1""",414
"""MIR6754""",1
"""MIR762""",1
"""ZNF668""",667
"""C2orf81""",593
"""LINC00997""",1
"""MIR182""",1
"""SRD5A3-AS1""",1
"""MIR6728""",1
"""TMEM43""",491
"""MIR5692A1""",1
"""FAM166C""",352
"""LINC02659""",3
"""FGFBP3""",293
"""GRPEL2-AS1""",1
"""MIR9902-2""",1
"""DACT2""",773
"""AXL""",829
"""LINC01381""",1
"""MZB1""",253
"""MIR12125""",1
"""ARHGAP40""",499
"""SLC26A4-AS1""",1
"""TENT4B""",417
"""MIR346""",1
"""RBMS3""",546
"""SNORD23""",1
"""CALR4P""",1
"""HSF2BP""",337
"""PUS1""",545
"""HS6ST2-AS1""",1
"""PRAMEF27""",346
"""KIF1B""",1738
"""PDE10A""",1148
"""RIMS1""",1955
"""GGA3""",875
"""RESP18""",245
"""OR14A2""",239
"""IGHV1-18""",441
"""PTRHD1""",158
"""SALL4""",979
"""MIR3194""",1
"""MRGPRX3""",425
"""CNIH3-AS1""",3
"""TRAC""",107
"""GALNT14""",695
"""SRC""",364
"""KIR2DL2""",22
"""UBE2E4P""",1
"""GJB7""",190
"""MIR6727""",1
"""ANKS6""",909
"""GPAT2""",641
"""DNASE1L2""",387
"""FAM32A""",130
"""MIR6849""",1
"""GFPT1""",391
"""VWA7""",836
"""TIGD7""",523
"""MAFF""",141
"""PCDH8""",1091
"""SSX2IP""",589
"""BUB3""",240
"""ZNF800""",573
"""LINC01014""",1
"""SAP130""",780
"""EPHA4""",787
"""GUCY1B1""",485
"""ZNF185""",696
"""PPP1R37""",556
"""FNTA""",350
"""KRR1""",318
"""SLC16A2""",371
"""PCDHB5""",1020
"""POLR3C""",484
"""LNX1-AS2""",1
"""TYRP1""",710
"""SPOCK2""",427
"""CERNA1""",1
"""NIF3L1""",423
"""UNCX""",460
"""HMGB4""",227
"""ANKRD30BP2""",1
"""MIR487B""",1
"""RERGL""",250
"""SMARCC2""",841
"""RPS20""",130
"""NRIR""",1
"""SNORD56""",1
"""LTBP2""",1875
"""ATP6V0E2-AS1""",1
"""PRPF38A""",214
"""RNY4""",1
"""TMCC2""",662
"""SLIT2""",1517
"""ACTR3BP5""",1
"""C2CD2""",636
"""PHTF1""",711
"""SNHG8""",3
"""OR51L1""",265
"""NME1""",183
"""ABCA6""",1589
"""SLC7A5""",431
"""MYO15A""",3462
"""SCARNA9""",1
"""KLF1""",432
"""MIR3146""",1
"""MIR8071-1""",1
"""PSMB1""",199
"""FITM2""",240
"""NACC1""",333
"""COL6A2""",1538
"""MIR6751""",1
"""MARK3""",850
"""PRIMA1""",154
"""MTRNR2L1""",29
"""ELN""",807
"""NOS2P3""",1
"""RIDA""",174
"""GULP1""",447
"""LINC02673""",2
"""WIPI2""",410
"""ZNF626""",787
"""GGN""",801
"""CYLD""",677
"""RHBDF2""",841
"""OR7D4""",380
"""EIF4EBP1""",112
"""SEC22B""",98
"""ACCSL""",566
"""MS4A7""",287
"""CA10""",348
"""CPSF2""",473
"""AP1M2""",544
"""RAB5C-AS1""",2
"""SLC2A1""",468
"""NMNAT1""",251
"""TMPRSS6""",965
"""RPL37""",102
"""SPATA33""",350
"""RC3H2""",980
"""ELL""",599
"""KLHL9""",472
"""PGM5-AS1""",3
"""ASRGL1""",346
"""DST""",7801
"""GPR137""",544
"""SLC35A5""",427
"""KREMEN1""",455
"""H3C7""",3
"""SLC12A1""",1146
"""LINC00370""",3
"""BMS1P20""",1
"""MIR1185-2""",1
"""MIR4742""",1
"""IGKV1D-43""",305
"""CD55""",656
"""SKAP1""",372
"""C2orf49-DT""",1
"""MSRA""",488
"""ARSA""",610
"""DDX6""",221
"""IGHV3OR15-7""",152
"""GOLGA8F""",238
"""LINC02758""",1
"""GZMA""",275
"""PGLYRP3""",358
"""LINC02137""",5
"""LINC01474""",3
"""ABTB1""",549
"""RIPK1""",577
"""MIR3152""",1
"""LINC02874""",7
"""KIF9-AS1""",1
"""CPSF4L""",192
"""BBS10""",628
"""KRTAP19-6""",83
"""NDOR1""",669
"""BLOC1S5""",208
"""PRPF38B""",467
"""EIF2B3""",393
"""FAM118B""",299
"""PERM1""",863
"""HFE""",406
"""TRAF2""",443
"""UNC93A""",532
"""RNF2""",194
"""SLC43A1""",543
"""MIR329-1""",1
"""YME1L1""",582
"""ZNF573""",718
"""LINC02025""",1
"""DYRK3""",574
"""PIK3IP1""",307
"""IGHA2""",397
"""ASPHD1""",382
"""SNORD115-48""",1
"""MUC20""",828
"""BORCS8""",140
"""ERGIC3""",386
"""SCARNA1""",1
"""CUL9""",2025
"""ST6GALNAC6""",366
"""INPP4B""",943
"""TUBB4B""",195
"""LPCAT3""",365
"""PRR20G""",139
"""SH2D1B""",148
"""LINC01691""",1
"""SGPP2""",349
"""UQCRQ""",93
"""ENTR1""",644
"""MYADML""",1
"""ETV3L""",395
"""SLC4A8""",804
"""DAW1""",483
"""POLR2H""",181
"""LINC02795""",3
"""LINC00504""",1
"""OR2D2""",357
"""RAI14""",805
"""SNORD115-37""",1
"""ADIPOR2""",216
"""PSG10P""",1
"""LINC02569""",1
"""MIR11400""",1
"""DOP1A""",1806
"""FBXW10""",971
"""ZNF605""",401
"""RABGAP1L-DT""",1
"""POFUT2""",533
"""MAGEB6B""",293
"""MCM9""",974
"""SLC18A2""",373
"""SMIM2-IT1""",1
"""PRKAA1""",388
"""BASP1-AS1""",1
"""BMPR2""",949
"""GPR78""",537
"""RANBP3-DT""",1
"""TLN1""",1733
"""POLE""",2819
"""AQP7P3""",2
"""MBL2""",267
"""LINC01986""",1
"""CCDC3""",348
"""FHIP2B""",18
"""TRAJ27""",15
"""ALDH4A1""",605
"""FAM177B""",194
"""MACROH2A1""",267
"""FBF1""",1205
"""FGF7P3""",1
"""MIR6876""",1
"""TTC8""",561
"""LINC02193""",1
"""IFNA22P""",1
"""ATP6V0A4""",762
"""GAS6""",655
"""DANCR""",4
"""TRIM63""",353
"""FCGR2A""",361
"""ARID3A""",578
"""MMP2-AS1""",1
"""PARG""",600
"""CIB1""",230
"""MIR548AR""",1
"""PDHA1""",323
"""CC2D1A""",999
"""CCDC189""",494
"""PGA5""",287
"""LINC01816""",1
"""DNMBP""",1765
"""RPS27AP5""",121
"""MIR12116""",1
"""CLCN4""",374
"""RNASEH2C""",297
"""LINC01145""",8
"""OR52R1""",295
"""ERRFI1""",424
"""SRSF8""",317
"""TEX15""",3009
"""TMEM229B""",161
"""IRGM""",198
"""MIR1207""",1
"""SRSF12""",251
"""CMTM7""",216
"""CCDC61""",507
"""GOLGA6D""",414
"""KRT17P5""",1
"""MUL1""",319
"""ZNF723""",288
"""SLFN12""",569
"""LINC01916""",1
"""SLK""",899
"""NTRK3""",1024
"""FCRL2""",634
"""ZSCAN30""",549
"""C1orf185""",157
"""MAP3K14""",638
"""RGS9""",764
"""CRCT1""",145
"""SLC22A10""",644
"""SNORD33""",1
"""MIR1281""",1
"""MIR144""",1
"""LRIT1""",729
"""CNTN5""",1351
"""PMP2""",145
"""FAM230J""",2
"""OR2G2""",440
"""MIR4697""",1
"""LINC02765""",2
"""LINC00689""",1
"""ACTG1P4""",1
"""LINC02069""",1
"""PHACTR3""",597
"""S1PR5""",448
"""NPIPA2""",178
"""DPP4-DT""",1
"""IGHV3-30-3""",1
"""ESX1""",434
"""SNAR-A8""",1
"""CLPSL2""",165
"""CHASERR""",3
"""DENND1C""",832
"""FAM53A""",578
"""SYNDIG1L""",254
"""PDE4DIPP3""",8
"""LINC02520""",1
"""RNY3""",1
"""ARFRP1""",216
"""EPB41L4A-DT""",1
"""TP53TG1""",1
"""BRWD1-AS1""",1
"""AFF4""",872
"""C9orf131""",1106
"""PTGER1""",385
"""CDC42EP1""",485
"""TMEM79""",526
"""GAPDHS""",432
"""REG3G""",267
"""EEF1AKMT1""",201
"""CLSTN2-AS1""",1
"""SNRNP200""",1189
"""ERBB2""",1120
"""AHCYL2""",510
"""UBE2V1""",169
"""AVPR1A""",513
"""MIR4733""",1
"""TEDC2""",588
"""ADAMTS6""",848
"""NOX4""",718
"""RNF212""",610
"""ZC4H2""",182
"""GMEB2""",450
"""INCENP""",880
"""ITGAX""",1257
"""LONRF2""",678
"""ABCG5""",681
"""LINC02258""",1
"""TCAIM""",409
"""LRRC49""",676
"""SFTPC""",290
"""CDC25C""",486
"""MIR486-2""",1
"""IGHV4-31""",2
"""PLXND1""",1690
"""TNK2""",1609
"""PRSS40B""",3
"""EZHIP""",549
"""LINC00700""",1
"""PSMC3IP""",240
"""MIR3165""",1
"""DAB1-AS1""",4
"""SLC19A2""",478
"""ZNF818P""",2
"""EYS""",2644
"""GPR27""",292
"""LINC00390""",1
"""MIR218-2""",1
"""OTOG""",2837
"""UBLCP1""",205
"""VSTM2L""",271
"""LINC02584""",1
"""CDH5""",795
"""FBXW7""",649
"""FGF20""",319
"""MIR151A""",1
"""VASN""",721
"""MIR570""",1
"""LINC02079""",1
"""HOXA2""",375
"""GORAB""",436
"""EIF2B1""",300
"""KCNQ5""",843
"""GSTT4""",172
"""KLKP1""",2
"""NHLRC2""",585
"""NAGK""",489
"""MDN1""",4599
"""HOXC5""",265
"""ZNF283""",668
"""MIR1295A""",1
"""SLC35B4""",295
"""LINC02510""",1
"""ANGPTL8""",202
"""RFTN2""",485
"""TRBJ2-5""",19
"""SH3PXD2A""",977
"""MAGEB3""",258
"""AGTRAP""",345
"""LCE3C""",68
"""NRARP""",61
"""MS4A3""",264
"""ST6GALNAC2""",430
"""H2AZ2""",96
"""TRIM6-TRIM34""",774
"""LINC02749""",1
"""RSF1""",1150
"""SLC35D3""",421
"""KIAA0100""",1781
"""NEU1""",350
"""PGAM1P5""",1
"""AGRP""",129
"""LINC02270""",1
"""PLA2G3""",602
"""MIR1302-10""",1
"""ADGRB3""",1602
"""PARN""",775
"""PAPPA""",1491
"""PTF1A""",341
"""RPL13AP20""",1
"""RPL34-DT""",1
"""RPL23AP64""",1
"""CLCNKB""",811
"""STRADB""",305
"""SYNPR""",331
"""DMXL1""",2797
"""MIR7157""",1
"""DCAF10""",385
"""IGKV2D-28""",161
"""LINC01951""",1
"""PSMD8""",441
"""CADM4""",302
"""LINC01843""",1
"""LINC02797""",1
"""HOXA6""",286
"""MIR3672""",1
"""FAM120B""",945
"""CST2""",231
"""STC2""",264
"""MLIP""",1042
"""TRIM51GP""",587
"""A1CF""",625
"""CCDC170""",704
"""TPP1""",655
"""LINC02693""",2
"""HIBCH""",449
"""CSTL1""",180
"""CLEC4A""",227
"""ATN1""",1104
"""STARD13""",1176
"""OR10D4P""",1
"""COLQ""",532
"""LINC00243""",2
"""LINC01564""",1
"""DGCR11""",1
"""MTRES1""",243
"""SNORA68""",1
"""MIR5707""",1
"""CYP27A1""",604
"""CASC11""",2
"""OR5K1""",390
"""TUBAL3""",479
"""C8orf88""",88
"""CRYGN""",338
"""TCEAL9""",85
"""AMOTL2""",831
"""ATF5""",433
"""NEUROG1""",293
"""MIR519D""",1
"""SSTR5""",417
"""SORL1""",1954
"""FAM183BP""",2
"""ZNF511""",305
"""ANTXR1""",522
"""EHHADH-AS1""",1
"""ZNF571-AS1""",4
"""H2BW2""",185
"""CLUHP3""",2
"""DDHD1""",883
"""BRD9""",700
"""UBOX5-AS1""",1
"""NCF4-AS1""",1
"""FUT5""",482
"""LOXHD1""",2222
"""GBP4""",620
"""DTD1""",210
"""MIR4430""",1
"""MIR1203""",1
"""CRHBP""",285
"""PDCL""",259
"""GLYATL1B""",200
"""ST7L""",522
"""BLOC1S4""",242
"""CRYGB""",223
"""CERS3-AS1""",1
"""SUV39H1""",181
"""SRSF5""",273
"""MIR3913-1""",1
"""STAT5B""",470
"""PGS1""",707
"""VPS13B-DT""",1
"""DPH1""",628
"""FAM90A9P""",171
"""GPHN""",671
"""TRMT13""",458
"""TBK1""",707
"""DCANP1""",304
"""LAPTM4B""",377
"""JOSD1""",155
"""TAOK2""",1292
"""THUMPD2""",622
"""TBC1D23""",550
"""MIR3910-2""",1
"""COL6A1""",1151
"""CXCL3""",125
"""LINC02362""",2
"""CRYBB1""",223
"""LINC01844""",1
"""LINC00707""",1
"""LEPR""",1129
"""LIPT2""",307
"""TAS2R14""",310
"""HTT-AS""",1
"""TRBV5-4""",151
"""LINC01731""",1
"""FAM74A3""",2
"""KATNAL2""",640
"""IFNA10""",271
"""ZNF732""",708
"""SERHL""",2
"""CNKSR1""",797
"""LINGO1-AS1""",1
"""MKKS""",543
"""PRXL2B""",315
"""RPL21""",118
"""HCRT""",119
"""SMIM40""",33
"""TENM1""",1881
"""THG1L""",304
"""PSME4""",1414
"""HSCB""",253
"""C14orf180""",188
"""LINC01054""",1
"""LINC01305""",1
"""LINC02412""",1
"""EXOC6""",676
"""MIR320C2""",1
"""PQBP1""",204
"""LINC00850""",1
"""AMPD2""",733
"""LINC01788""",1
"""LYRM9""",117
"""PPAN-P2RY11""",1113
"""KLHL10""",379
"""FGF1""",214
"""ATP2B3""",913
"""CDHR5""",1079
"""GLS2""",535
"""LINC01055""",1
"""OR10S1""",404
"""ELAVL4-AS1""",1
"""ASNS""",468
"""BTBD19""",281
"""MIR3155B""",1
"""MIR646HG""",1
"""MAN2A2""",1236
"""ZNF844""",712
"""MIR3202-1""",1
"""PRORY""",2
"""DPPA4""",353
"""TMEM37""",229
"""WDFY3-AS1""",1
"""UGT1A6""",551
"""NAE1""",511
"""AQP12B""",439
"""NDUFAF8""",115
"""NME6""",298
"""LINC00314""",1
"""ZNF839""",860
"""FKBP4""",428
"""RPL13A""",293
"""TBC1D20""",315
"""SNORA101B""",1
"""SVBP""",51
"""YIF1A""",391
"""CIC""",2068
"""MIR135A1""",1
"""PPP1R1B""",189
"""BOD1L2""",181
"""IRAK1BP1""",348
"""RNF167""",434
"""CHST7""",318
"""OR6Y1""",419
"""LINC01600""",2
"""ANKZF1""",779
"""NOL4L-DT""",1
"""RNF114""",267
"""MIR4683""",1
"""PTPRVP""",1
"""C1orf131""",293
"""ATP2B2""",995
"""FAM81B""",468
"""PAQR8""",321
"""ZNF436""",389
"""POLDIP2""",288
"""MIR1282""",1
"""OXLD1""",262
"""SYNPO2""",1325
"""UBAP1L""",367
"""GDF11""",241
"""CALCA""",238
"""CPVL""",494
"""ZNF468""",692
"""UBE2DNL""",2
"""KRTAP4-3""",225
"""DYDC1""",184
"""VPS9D1-AS1""",1
"""ABRAXAS2""",323
"""LIG1""",960
"""MRPS18B""",278
"""MIR548AP""",1
"""SMIM4""",84
"""HES5""",161
"""DKK3""",384
"""MIR4270""",1
"""C8orf76""",321
"""DROSHA""",950
"""FGF12""",236
"""NAP1L5""",187
"""FAM131B-AS1""",2
"""ZNF524""",298
"""ATP2A2""",606
"""SNAR-D""",1
"""ZNF37BP""",1
"""KCNMB3""",319
"""PSMC3""",267
"""BTG3-AS1""",1
"""LINC00299""",3
"""ASPHD2""",314
"""LINC01515""",1
"""ITIH4-AS1""",1
"""BAG2""",163
"""DAZ2""",39
"""ITGB8""",702
"""COPG2IT1""",1
"""ENC1""",412
"""CST1""",238
"""SMC3""",494
"""LGALS13""",180
"""LINC01258""",1
"""LINC01053""",1
"""MIR194-1""",1
"""LINC00485""",1
"""MIR10524""",1
"""MIR588""",1
"""PAG1""",355
"""NEMF""",876
"""PTPDC1""",726
"""PM20D1""",490
"""LINC01826""",1
"""YBEY""",211
"""ATAD3C""",530
"""LINC01365""",1
"""ALG8""",612
"""LINC02317""",2
"""FREM1""",2804
"""SNORD36C""",1
"""SNORD124""",1
"""BSX""",251
"""AHDC1""",1419
"""OBP2A""",334
"""ZFP62""",737
"""SULT1C4""",300
"""ARHGEF17""",2185
"""FMNL3""",851
"""EVI2B""",382
"""SCAMP1""",245
"""TMEM64""",357
"""H2BC18""",140
"""PABPC1""",493
"""TENT5C""",317
"""GLOD4""",741
"""PRAMEF20""",315
